principal,amount
x5rnl-ymak4-6qrta-nlbif-kedlg-4gk4t-ueqoh-gk76s-p4sxi-wrllz-mae,1.16
x35bb-23uiu-44wxt-tl5s6-7gadk-cb3na-v4dpp-mvahs-67hcr-xtpob-7qe,1.16
663lx-zencv-kurb2-vlzpv-jsgt4-uawrc-f2xps-la4lj-5bl7b-ecshv-oqe,1.16
xi2ll-ckjhc-cbnua-kfexm-xpbku-xnr2o-3w6x7-jmwou-7d63t-zo2it-mqe,1.13
m45tc-ijess-mdpui-lxluw-jaq7p-zhcg6-2hs6w-rok6b-ccxqw-qb7n2-gae,1.18
j2oqw-gby6n-yc4ma-b2kkb-obps6-xwaa4-qodjt-flmwe-263jf-mspai-oae,1.14
y3cc6-3hda6-miohr-lnvrp-niwfc-4v7lm-ms23p-wpwdt-vqjez-dq7bl-hae,1.68
ves2d-ejmyu-kkpud-3jrje-qpxw4-m3n44-3ux55-umdmz-4ektw-tuwi2-rqe,1.12
jjm4z-rzwqt-lk35b-jljbz-ooesy-hgtkf-enxrb-v7khw-zfoyk-5tpfq-zae,1.13
brb7g-wywyf-gqkbz-sx3ff-ux5wh-3hgs4-fswjr-xzh23-7cebn-6uz6j-fqe,1.13
aqwgm-yraum-ut6n5-oaq3r-itnon-echos-zqgh6-ulwfv-5szin-5loii-2ae,1.11
wakd3-x2tmw-k3uf3-5gcp2-ssa2c-am2zn-j633l-wam37-5uuzz-2ir3r-5qe,1.15
hpcqq-euq4s-tgx4z-jvoh6-t7dys-sqqug-2q3iy-vqtwb-46mjt-cpmps-kae,1.15
a3lxe-gxnbf-usc2c-zlmst-sg44f-xxwvy-bbalr-sl55i-7umif-jmldp-gae,1.16
673vn-pao7f-ivvz6-l7b4j-ugzs5-yqdec-tsqgo-abusi-seovi-5czkc-bqe,1.16
dbr3p-myh3n-priwc-kflac-xq4ag-eabgb-lnqjd-klacv-f5f6z-7cvdb-cae,1.86
3udks-fjm7l-d2uax-fziwp-ibbm2-3kgsi-5yw7p-mhzfy-7qkln-jt3l3-7ae,1.6
33vrf-wtb2c-lokaj-i4xkx-6uaph-2ry5h-jnlkh-brv7s-myos6-jt47u-gqe,1.15
nnkcs-r7pz3-k4kcq-36fld-el4zt-vpvvk-tnxgn-ceunb-xdu2u-iofov-jqe,1.12
vb7aa-b4iyc-f3lhb-w5mn4-pcmlj-4fwnd-o6mm4-5xmfl-mdudk-7ptls-vae,1.11
fa7er-sk2bu-ibawe-2sbkt-g2liy-o7e4h-4aqth-yubjq-ahjht-axw4d-lqe,1.13
op3tm-ju7vq-yqhog-dy3bj-hldaa-hqcql-y5v7c-tloh7-g3bvb-aptty-mae,1.12
kfgtx-dgsoy-szd26-7brlu-gcsi5-xkla5-xoxqs-fiols-5uu7p-m4ry7-tae,1.14
b574s-co4er-wfoze-crlf7-hq27t-m4xsp-ofioy-6zw2k-jwcrv-2xmna-bae,1.11
6tanq-4gez3-uk2qi-mcbfa-pziyk-nluti-ckymb-pdoie-ynufh-w4jxj-3ae,1.13
pc6m6-vi5lh-6zyrt-mxwxo-xxf2b-n5qqz-imwdt-jbj3d-jqmp5-g4fbw-iae,1.13
63ixv-phasx-jgv7h-xuszh-crl32-rimqf-bkk6k-3w2h5-ls72r-5yzjg-gae,1.16
fsvwp-7i33i-q2dcz-r3wis-ahpnd-x2eq4-vsny4-6ymzo-pcn4u-uk2rd-gae,1.11
xi5ja-4icob-plrsq-vttxz-l5cle-f3ipy-rek2p-qdonk-hbels-5yx43-dqe,1.91
nfc4s-ca7d7-dc4ef-f3edr-27nh4-6gw6k-5cafb-nsm7c-3el6t-yl5gu-kqe,1.62
u6l2j-2i3ns-riulb-3rnnr-mkuvu-dqulw-xgjsc-yhbi6-ykbik-3k7yp-sqe,1.49
rldut-xt4px-ozt5g-v3hux-dlnif-ithxs-c3bg5-cm6yt-lrfpk-254zx-pae,1.15
zs4jp-u5jjt-gz5ui-mzo2n-naxtw-jjku5-prfyo-vcmbd-k4bog-iob2j-yqe,2.66
tju7v-txhqy-iaikf-2du6d-5h5wg-brbvn-vbksm-r6a5l-4grcn-jbeoq-kae,1.13
